Region,DATE,w_PCPI
Northeast,2014-11-01,55444.0722874678
Northeast,2014-12-01,55622.46210793396
Northeast,2015-01-01,55800.86307980388
Northeast,2015-02-01,55929.247780904836
Northeast,2015-03-01,56057.634350605695
Northeast,2015-04-01,56186.02278881489
Northeast,2015-05-01,56314.413095440854
Northeast,2015-06-01,56442.80527039205
Northeast,2015-07-01,56571.199313576915
Northeast,2015-08-01,56699.59522490393
Northeast,2015-09-01,56827.99300428157
Northeast,2015-10-01,56956.392651618284
Northeast,2015-11-01,57084.794166822554
Northeast,2015-12-01,57213.19754980289
Northeast,2016-01-01,57341.602800467765
Northeast,2016-02-01,57549.63021318677
Northeast,2016-03-01,57757.64054776081
Northeast,2016-04-01,57965.63380568283
Northeast,2016-05-01,58173.609988445634
Northeast,2016-06-01,58381.56909754183
Northeast,2016-07-01,58589.51113446386
Northeast,2016-08-01,58797.436100704
Northeast,2016-09-01,59005.343997754324
Northeast,2016-10-01,59213.23482710677
Northeast,2016-11-01,59421.10859025308
Northeast,2016-12-01,59628.96528868482
Northeast,2017-01-01,59836.80492389341
Northeast,2017-02-01,60037.93411859698
Northeast,2017-03-01,60239.07154322988
Northeast,2017-04-01,60440.21719774956
Northeast,2017-05-01,60641.37108211344
Northeast,2017-06-01,60842.533196278986
Northeast,2017-07-01,61043.703540203634
Northeast,2017-08-01,61244.88211384484
Northeast,2017-09-01,61446.06891716003
Northeast,2017-10-01,61647.26395010667
Northeast,2017-11-01,61848.4672126422
Northeast,2017-12-01,62049.678704724065
Northeast,2018-01-01,62250.89842630973
Northeast,2018-02-01,62451.1325618936
Northeast,2018-03-01,62651.376429387026
Northeast,2018-04-01,62851.63003233154
Northeast,2018-05-01,63051.89337427038
Northeast,2018-06-01,63252.166458748536
Northeast,2018-07-01,63452.449289312666
Northeast,2018-08-01,63652.74186951121
Northeast,2018-09-01,63853.04420289428
Northeast,2018-10-01,64053.35629301375
Northeast,2018-11-01,64253.67814342318
Northeast,2018-12-01,64454.0097576779
Northeast,2019-01-01,64654.35113933495
Northeast,2019-02-01,64978.36522875698
Northeast,2019-03-01,65302.318081687605
Northeast,2019-04-01,65626.21008589302
Northeast,2019-05-01,65950.04162587234
Northeast,2019-06-01,66273.81308289203
Northeast,2019-07-01,66597.52483501972
Northeast,2019-08-01,66921.1772571578
Northeast,2019-09-01,67244.77072107633
Northeast,2019-10-01,67568.30559544583
Northeast,2019-11-01,67891.78224586936
Northeast,2019-12-01,68215.2010349145
Northeast,2020-01-01,68538.56232214473
Northeast,2020-02-01,68960.2938983145
Northeast,2020-03-01,69381.94000016303
Northeast,2020-04-01,69803.50055803508
Northeast,2020-05-01,70224.97550219965
Northeast,2020-06-01,70646.36476284996
Northeast,2020-07-01,71067.66827010331
Northeast,2020-08-01,71488.88595400097
Northeast,2020-09-01,71910.0177445081
Northeast,2020-10-01,72331.06357151367
Northeast,2020-11-01,72752.02336483028
Northeast,2020-12-01,73172.89705419414
Northeast,2021-01-01,73593.68456926485
Northeast,2021-02-01,73633.28347869268
Northeast,2021-03-01,73672.93300142257
Northeast,2021-04-01,73712.63318537269
Northeast,2021-05-01,73752.38407852175
Northeast,2021-06-01,73792.18572890904
Northeast,2021-07-01,73832.03818463454
Northeast,2021-08-01,73871.94149385909
Northeast,2021-09-01,73911.89570480434
Northeast,2021-10-01,73951.90086575298
Northeast,2021-11-01,73991.95702504872
Northeast,2021-12-01,74032.06423109656
Northeast,2022-01-01,74072.2225323627
Northeast,2022-02-01,74378.4320057906
Northeast,2022-03-01,74684.62617546761
Northeast,2022-04-01,74990.80503848616
Northeast,2022-05-01,75296.96859193797
Northeast,2022-06-01,75603.11683291398
Northeast,2022-07-01,75909.24975850442
Northeast,2022-08-01,76215.36736579875
Northeast,2022-09-01,76521.46965188577
Northeast,2022-10-01,76827.55661385346
Northeast,2022-11-01,77133.62824878907
Northeast,2022-12-01,77439.68455377917
Northeast,2023-01-01,77745.72552590954
South,2000-01-01,27846.985875442326
South,2000-02-01,27938.581158777197
South,2000-03-01,28030.171281355862
South,2000-04-01,28121.756259661233
South,2000-05-01,28213.336110106105
South,2000-06-01,28304.910849033527
South,2000-07-01,28396.48049271716
South,2000-08-01,28488.045057361673
